#product_name,#sub_name,#cas_number,#formula,#concentration,label_template,export_filename
Acetic Acid Water,,CAS 64-19-7,C₂H₄O₂ (in H₂O),3ml,main,Acetic Acid Water 3ml
Kisspeptin-10,,CAS 373566-79-9,C₆₃H₈₃N₁₇O₁₄,5mg,main,Kisspeptin-10 5mg
Kisspeptin-10,,CAS 373566-79-9,C₆₃H₈₃N₁₇O₁₄,10mg,main,Kisspeptin-10 10mg
KPV,,CAS 67727-97-3,C₁₆H₃₀N₄O₄,5mg,main,KPV 5mg
KPV,,CAS 67727-97-3,C₁₆H₃₀N₄O₄,10mg,main,KPV 10mg
LL-37,,CAS 154947-66-7,C₂₀₅H₃₄₀N₆₀O₅₃,5mg,main,LL-37 5mg
NAD,,CAS 53-84-1,C₂₁H₂₇N₇O₁₄P₂,100mg,main,NAD 100mg
NAD,,CAS 53-84-1,C₂₁H₂₇N₇O₁₄P₂,500mg,main,NAD 500mg
NAD,,CAS 53-84-1,C₂₁H₂₇N₇O₁₄P₂,1000mg,main,NAD 1000mg
Oxytocin Acetate,,CAS 50-56-6,C₄₃H₆₆N₁₂O₁₂S₂,2mg,main,Oxytocin Acetate 2mg
Oxytocin Acetate,,CAS 50-56-6,C₄₃H₆₆N₁₂O₁₂S₂,5mg,main,Oxytocin Acetate 5mg
Oxytocin Acetate,,CAS 50-56-6,C₄₃H₆₆N₁₂O₁₂S₂,10mg,main,Oxytocin Acetate 10mg
Selank,,CAS 129954-34-3,C₃₃H₅₇N₁₁O₉,5mg,main,Selank 5mg
Selank,,CAS 129954-34-3,C₃₃H₅₇N₁₁O₉,10mg,main,Selank 10mg
Semax,,CAS 80714-61-0,C₃₅H₅₂N₁₂O₉,5mg,main,Semax 5mg
Semax,,CAS 80714-61-0,C₃₅H₅₂N₁₂O₉,10mg,main,Semax 10mg
Thymalin,,CAS 63958-90-7,—,10mg,main,Thymalin 10mg
Thymosin alpha-1,,CAS 62304-98-7,C₁₂₉H₂₁₅N₃₃O₅₅,5mg,main,Thymosin alpha-1 5mg
Thymosin alpha-1,,CAS 62304-98-7,C₁₂₉H₂₁₅N₃₃O₅₅,10mg,main,Thymosin alpha-1 10mg
VIP,,CAS 37221-79-7,C₁₄₇H₂₃₇N₄₃O₄₃S,10mg,main,VIP 10mg
Pinealon,,CAS 175175-23-2,C₁₄H₂₂N₄O₉,10mg,main,Pinealon 10mg
Humanin,,CAS 330936-69-1,C₁₁₉H₂₀₄N₃₆O₃₂,10mg,main,Humanin 10mg
Adamax,,CAS 2920938-90-3,C₃₇H₅₄N₁₂O₁₀,10mg,main,Adamax 10mg
Dihexa,,CAS 1401708-83-5,C₂₇H₃₂N₆O₅,10mg,main,Dihexa 10mg
Cerebrolysin,,CAS 12656-61-0,—,10mg,main,Cerebrolysin 10mg
B-12,,CAS 68-19-9,C₆₃H₈₈CoN₁₄O₁₄P,10mg,main,B-12 10mg
Glutathione,,CAS 70-18-8,C₁₀H₁₇N₃O₆S,600mg,main,Glutathione 600mg
Glutathione,,CAS 70-18-8,C₁₀H₁₇N₃O₆S,1500mg,main,Glutathione 1500mg
L-Carnitine,,CAS 541-15-1,C₇H₁₅NO₃,600mg (10ml),main,L-Carnitine 600mg (10ml)
Lemon Bottle,,CAS 83-88-5,—,10ml,main,Lemon Bottle 10ml
Lipo-C,,CAS 67-48-1,—,10ml,main,Lipo-C 10ml
MK-677,,CAS 159752-10-0,C₂₇H₃₆N₄O₅,5mg,main,MK-677 5mg
L-Glu,,CAS 56-85-9,C₅H₉NO₄,100mg,main,L-Glu 100mg
Pinealon (Capsules),,CAS 175175-23-2,C₁₄H₂₂N₄O₉,N/A,capsule,Pinealon (Capsules)
Selank Nasal Spray,,CAS 129954-34-3,C₃₃H₅₇N₁₁O₉,10mg,main,Selank Nasal Spray 10mg
Semax Nasal Spray,,CAS 80714-61-0,C₃₇H₅₁N₉O₁₀S,10mg,main,Semax Nasal Spray 10mg
